title,location,location_status,status,year,area,bathrooms,bedrooms,heating_type,energy_class,price
Piso alto con terraza y vistas en Vila Olímpica ,SANT MARTIN  La Vila Olímpica del Poblenou ,,Excelente,1978,118m²,2,4,Gas,E,537.500EUR
Vivienda de diseño y local comercial en Poblenou ,SANT MARTIN  El Poblenou ,Excelente,,1950,312m²,2,3,,,795.000EUR
Fabuloso Ático con vistas panorámicas en Eixample ,Eixample  Fort Pienc ,Excelente,Excelente,1973,120m²,2,3,Gas,E,729.000EUR
Planta baja exterior con terraza de 50m² ,Sant Just - Esplugues  Sant Joan Despí ,Excelente,Muybien,1992,103m²,2,3,Gas,,498.000EUR
Magnífico piso en la mejor zona de Barcelona ,Sant Gervasi  Balmes ,Excelente,Excelente,,180m²,2,4,,E,1.290.000EUR
Ideal Pied a terre ,Ciutat Vella  Born-Ribera ,,,2011,51m²,1,1,,E,375.000EUR
Espectacular propiedad en Passeig de Gràcia ,Eixample  Eixample Dreta ,Excelente,Excelente,2002,274m²,4,4,Central,E,3.700.000EUR
Magnífica propiedad en Zona Alta ,Sant Gervasi  Bonanova ,Excelente,,,286m²,5,5,,,3.400.000EUR
Ático con terraza de 91m² y vistas despejadas ,Sant Just - Esplugues  Esplugues - Otras ,Excelente,Muybien,1996,142m²,2,3,Gas,E,598.000EUR
Piso alto y luminoso cerca de Plaza Lesseps ,Gracia  La Salut ,,,,142m²,2,4,,,535.000EUR
Espectacular ático de obra nueva en Eixample ,Eixample  Eixample Esquerra ,Excelente,Excelente,2022,130m²,3,4,PelletsGasSolar,A,1.314.000EUR
Luminoso piso de obra nueva en Eixample ,Eixample  Eixample Esquerra ,Excelente,Excelente,2022,130m²,3,4,PelletsGasSolar,A,1.284.000EUR
Luminoso piso de obra nueva en Eixample ,Eixample  Eixample Esquerra ,Excelente,Excelente,2022,130m²,3,4,PelletsGasSolar,A,1.224.000EUR
Piso de ensueño en primera línea del mar ,SANT MARTIN  Diagonal Mar i El Front Marítim del Poblenou ,Excelente,Excelente,2010,100m²,2,1,Bombadecalor,D,1.500.000EUR
Piso alto y con vistas en Finca Regia ,Sant Gervasi  Galvany ,Excelente,Muybien,1944,221m²,3,5,Gas,E,1.190.000EUR
Bonito piso con terraza en Balmes ,Sant Gervasi  Putget ,Excelente,Bien,1959,181m²,2,4,Gas,E,760.000EUR
Maravilloso piso en el barrio de la Prosperitat ,Nou Barris ,,,,100m²,2,4,,E,280.000EUR
Cómodo y espacioso piso en Marià Cubí ,Sant Gervasi  Galvany ,Muybien,Necesitarenovaciones,1971,120m²,2,4,Gas,,575.000EUR
Bajo artístico en el Barrio Gótico ,Ciutat Vella  Gòtic ,Muybien,Muybien,,115m²,2,3,Gas,E,540.000EUR
Excelente propiedad en Sagrada Familia con balcón-terraza ,Eixample  Sagrada Familia ,Excelente,Excelente,1977,122m²,2,4,Gas,D,585.000EUR
Espectacular ático con terraza en Turó Parc ,Sant Gervasi  Turo Parc ,Excelente,Muybien,1982,207m²,3,2,Gas,E,1.619.000EUR
Piso familiar en Fabra i Puig ,Horta Guinardó ,Bien,Regular,1958,82m²,1,4,,E,250.000EUR
Fantástico piso grande con balcones y parking ,SANT MARTIN  Sant Martí de Provençals ,,Muybien,,130m²,2,3,Gas,E,429.000EUR
Precioso piso en finca regia en Comte Urgell ,Eixample  Sant Antoni ,Excelente,Excelente,1940,197m²,2,6,Gas,E,890.000EUR
Piso primero en Molins de Rei con terraza y loft extra ,Baix Llobregat ,,,,213m²,2,5,Gas,G,295.000EUR
Amplio y luminoso loft totalmente reformado ,Bagés- Manresa  MANRESA ,Muybien,Excelente,1941,267m²,2,1,Pellets,,370.000EUR
Luminoso y reformado piso en el centro de Manresa ,Bagés- Manresa  MANRESA ,Muybien,Muybien,1965,94m²,2,4,Gas,E,170.000EUR
Ático en finca regia del Eixample Dret ,Eixample  Eixample Dreta ,Excelente,Excelente,1940,217m²,4,4,Gas,E,1.650.000EUR
Precioso piso alto en finca regia en Muntaner ,Sant Gervasi  Galvany ,Excelente,Muybien,1925,186m²,2,6,Gas,E,1.200.000EUR
Piso alto y soleado en Muntaner ,Sant Gervasi  Bonanova ,Muybien,Regular,1964,148m²,2,5,Central,D,840.000EUR
Precioso dúplex con vistas al mar ,Maresme  Canet de Mar ,Excelente,Excelente,2006,152m²,3,4,Gas,E,410.000EUR
Piso reformado en Eixample Esquerra ,Eixample  Eixample Esquerra ,,,,105m²,3,5,,E,730.000EUR
Encantador piso en el Barrio Gótico ,Ciutat Vella  Gòtic ,Excelente,Bien,1850,62m²,1,1,,D,265.000EUR
Encantador piso luminoso en centro histórico ,Ciutat Vella  Gòtic ,Muybien,,1900,63m²,1,2,Gas,,319.000EUR
Bajo con terraza  piscina y parking en Sant Gervasi ,Sant Gervasi  Putget ,Excelente,Excelente,1999,100m²,3,3,Bombadecalor,E,615.000EUR
Espacioso y luminoso piso en Sant Adrià ,Sant Adrià de Besòs ,,,2000,184m²,2,4,Gas,,385.000EUR
Oportunidad de compra  edificio en Badalona ,Badalona  Badalona ,Muybien,Muybien,1915,216m²,3,5,,,350.000EUR
Amplio y luminoso piso junto a Casa Batllo ,Eixample  Eixample Dreta ,Excelente,Excelente,1900,200m²,3,3,Bombadecalor,E,2.200.000EUR
Fantástica vivienda con terraza en Tres Torres ,Sant Gervasi  Tres Torres ,Excelente,Excelente,1972,333m²,5,6,Gas,E,2.380.000EUR
Piso reformado y elegante en Eixample ,Eixample  Sagrada Familia ,Excelente,Excelente,1980,114m²,2,3,,D,620.000EUR
Maravillosas vistas en primera línea del mar ,SANT MARTIN  Diagonal Mar i El Front Marítim del Poblenou ,Excelente,Excelente,2008,120m²,2,3,Bombadecalor,E,1.500.000EUR
Luminoso piso exterior a estrenar en Bonanova ,Sant Gervasi  Bonanova ,Muybien,Muybien,1947,133m²,2,3,Bombadecalor,E,870.000EUR
Alto y luminoso piso a estrenar en Bonanova ,Sant Gervasi  Bonanova ,Muybien,Muybien,1947,194m²,3,4,Bombadecalor,E,1.200.000EUR
Piso con licencia turística ideal para inversores ,Sants - Montjuïc  Poble Sec ,Muybien,Bien,1934,70m²,2,3,Gas,G,419.000EUR
Espectacular atico con terrazas y vistas al mar ,Maresme  Sant Andreu de Llavaneres ,Excelente,Excelente,2011,227m²,2,4,Solar,,1.040.000EUR
Ático de diseño vistas al mar a estrenar ,Maresme  Sant Andreu de Llavaneres ,Excelente,Excelente,2011,98m²,2,2,Solar,,565.000EUR
Apartamento con vistas a mar en Sant Adrià ,Sant Adrià de Besòs ,Excelente,Excelente,2007,94m²,2,2,Bombadecalor,D,450.000EUR
Espectacular ático con orientación sur-este ,Les Corts  Les corts ,,Excelente,1973,190m²,3,5,Gas,,1.200.000EUR
Piso de diseño en Finca Regia ,Sant Gervasi  Turo Parc ,Excelente,Excelente,,150m²,3,3,Gas,,1.250.000EUR
Piso luminoso con terraza y vistas despejadas ,SANT MARTIN  Sant Martí de Provençals ,,,1960,178m²,2,5,Gas,E,630.000EUR
Exclusivo ático con piscina  l'Illa Diagonal ,Les Corts  Les corts ,Excelente,Excelente,2015,110m²,2,3,BombadecalorGasSolar,B,999.000EUR
Ático con terraza en El Congrés ,Horta Guinardó  Baix Guinardó ,Muybien,Muybien,1950,147m²,2,3,Gas,,480.000EUR
Piso en buen estado con piscina en Tres Torres ,Sant Gervasi  Tres Torres ,Muybien,Bien,1983,171m²,3,5,Gas,D,1.190.000EUR
Piso amplio próximo al mercado Sant Antoni ,Ciutat Vella  raval ,Excelente,Muybien,1841,120m²,2,3,CorrienteEléctrica,E,399.000EUR
Espectacular planta baja piscina comunitaria ,Maresme  Mataró ,,,2007,170m²,3,4,Gas,,545.000EUR
Coqueto piso cerca de Francesc Macià ,Eixample  Eixample Esquerra ,Muybien,,1933,83m²,1,2,CorrienteEléctrica,E,380.000EUR
Piso reformado a estrenar en elegante finca regia ,Eixample  Nova Esquerra de l'Eixample ,Muybien,Muybien,1936,85m²,2,2,Bombadecalor,G,585.000EUR
Piso alto con vistas despejadas y piscina ,Pedralbes  Pedralbes ,Excelente,,,205m²,3,4,Gas,E,1.545.000EUR
Gran piso reformado junto Passeig Sant Joan ,Eixample  Eixample Dreta ,Excelente,Excelente,1900,216m²,5,4,,D,1.800.000EUR
Piso con terraza en la Sagrada Família ,Eixample  Sagrada Familia ,Muybien,Muybien,1920,105m²,2,2,Gas,E,580.000EUR
Exclusiva obra nueva en Sarrià-Sant Gervasi ,Sant Gervasi  Galvany ,Excelente,Excelente,2020,85m²,1,1,nocentralizada,A+,548.250EUR
Amplio piso de obra nueva en Sant Martí ,SANT MARTIN  El Poblenou ,Excelente,Excelente,2022,127m²,2,3,BombadecalorPellets,A,669.500EUR
Amplio y luminoso piso en Sant Martí ,SANT MARTIN  El Parc i La Llacuna del Poblenou ,Excelente,Excelente,2022,127m²,2,4,BombadecalorPellets,A,664.000EUR
Piso reformado con terraza en Enric Granados ,Eixample  Eixample Esquerra ,Excelente,,1910,155m²,2,3,,G,1.085.000EUR
Piso con licencia turística en el Poblenou ,SANT MARTIN  El Poblenou ,,,2011,106m²,2,3,,B,750.000EUR
Loft con elementos originales en Ciutat Vella ,Ciutat Vella  raval ,Bien,Bien,1850,68m²,1,1,,C,170.000EUR
Amplio piso reformado en Eixample Esquerra ,Eixample  Nova Esquerra de l'Eixample ,Excelente,Excelente,1925,134m²,2,3,CorrienteEléctrica,E,699.000EUR
Señorial piso segregable en Portaferrissa ,Ciutat Vella  Gòtic ,Excelente,Excelente,1900,242m²,3,4,,D,985.000EUR
Maravillosa casa con terraza y jardín. ,SANT MARTIN  Provençals del Poblenou ,Excelente,Excelente,1940,140m²,2,2,,D,760.000EUR
Fantástico piso luminoso en Turó Parc ,Sant Gervasi  Turo Parc ,,,,628m²,6,5,,D,3.900.000EUR
Estilosa propiedad en el Cuadrat d'Or ,Eixample  Eixample Dreta ,Excelente,Excelente,1930,183m²,3,4,Circuito,C,1.475.000EUR
Fantástico piso con licéncia turística cerca del Camp Nou ,Hospitalet  Collblanc ,,Excelente,2008,69m²,1,2,,,370.000EUR
Amplio piso frente al Arc de Triomf ,Ciutat Vella  Born-Ribera ,Excelente,Muybien,1927,122m²,2,4,,D,790.000EUR
Ático reformado con terraza y vistas al mar en Eixample ,Eixample  Eixample Dreta ,Muybien,Excelente,1960,212m²,2,2,Bombadecalor,B,2.200.000EUR
Acogedor piso en finca regia en Eixample ,Eixample  Eixample Dreta ,Excelente,Muybien,1900,52m²,1,2,Bombadecalor,G,289.000EUR
Fantástico piso con piscina  gimnasio y parking ,Hospitalet  Gran Via ,Muybien,Excelente,2014,83m²,2,2,Bombadecalor,D,390.000EUR
Piso de 4 habitaciones con parking y trastero en Les Corts ,Les Corts  Les corts ,Excelente,Muybien,2003,120m²,2,4,,,581.000EUR
Espectacular ático dúplex en el Eixample ,Sant Just - Esplugues  Sant Joan Despí ,Muybien,Muybien,2000,185m²,3,4,Gas,D,680.000EUR
Maravilloso piso con terraza en Eixample ,Eixample  Eixample Esquerra ,Excelente,Excelente,2022,172m²,3,4,PelletsGasSolar,A,1.620.000EUR
Maravilloso piso de obra nueva en Eixample ,Eixample  Eixample Esquerra ,Excelente,Excelente,2022,172m²,3,4,PelletsGasSolar,A,1.549.000EUR
Maravilloso ático de obra nueva en Eixample ,Eixample  Eixample Esquerra ,Excelente,Excelente,2022,156m²,3,4,PelletsGasSolar,A,1.639.000EUR
Luminoso piso de obra nueva en Eixample ,Eixample  Eixample Esquerra ,Excelente,Excelente,2022,156m²,3,4,PelletsGasSolar,A,1.560.000EUR
Luminoso piso de obra nueva en Eixample ,Eixample  Eixample Esquerra ,Excelente,Excelente,2022,156m²,3,4,PelletsGasSolar,A,1.530.000EUR
Luminoso piso de obra nueva en Eixample ,Eixample  Eixample Esquerra ,Excelente,Excelente,2022,156m²,3,4,PelletsGasSolar,A,1.500.000EUR
Luminoso piso de obra nueva en Eixample ,Eixample  Eixample Esquerra ,Excelente,Excelente,2022,156m²,3,4,PelletsGasSolar,A,1.470.000EUR
Luminoso piso de obra nueva en Eixample ,Eixample  Eixample Esquerra ,Excelente,Excelente,2022,160m²,3,4,PelletsGasSolar,A,1.460.000EUR
Piso luminoso a reformar con ascensor ,Ciutat Vella  Born-Ribera ,Excelente,Necesitarenovaciones,1933,140m²,2,5,,E,615.000EUR
Precioso piso reformado en Gràcia ,Gracia  La Salut ,Muybien,Excelente,1966,84m²,1,3,,E,430.000EUR
Bonito apartamento para reformar en Pl. Molina ,Sant Gervasi  Putget ,Excelente,,1970,86m²,1,1,Gas,,310.000EUR
Bonito piso en Hospitalet de Llobregat ,Hospitalet  Centre - Sant Josep ,Excelente,Excelente,2022,76m²,2,2,,C,322.000EUR
Bonito piso en Hospitalet de Llobregat ,Hospitalet  Centre - Sant Josep ,Excelente,Excelente,2022,90m²,2,2,,C,362.000EUR
Piso con piscina en Hospitalet de Llobregat ,Hospitalet  Centre - Sant Josep ,Excelente,Excelente,2022,77m²,2,2,,C,330.000EUR
Amplio piso con piscina comunitaria ,Hospitalet  Centre - Sant Josep ,Excelente,Excelente,2022,104m²,2,3,,C,415.000EUR
Amplio piso con piscina comunitaria ,Hospitalet  Centre - Sant Josep ,Excelente,Excelente,2022,105m²,2,3,,C,392.000EUR
Bonito piso con piscina comunitaria ,Hospitalet  Centre - Sant Josep ,Excelente,Excelente,2022,76m²,2,2,,C,312.000EUR
Bonito piso con piscina comunitaria ,Hospitalet  Centre - Sant Josep ,Excelente,Excelente,2022,90m²,2,2,,C,352.000EUR
Bonito piso con piscina comunitaria ,Hospitalet  Centre - Sant Josep ,Excelente,Excelente,2022,82m²,2,2,,C,340.000EUR
Dúplex con jardín en Hospitalet de Llobregat ,Hospitalet  Centre - Sant Josep ,Excelente,Excelente,2022,147m²,3,3,,C,560.000EUR
Dúplex con jardín en Hospitalet de Llobregat ,Hospitalet  Centre - Sant Josep ,Excelente,Excelente,2022,126m²,3,3,,C,477.000EUR
Dúplex con jardín en Hospitalet de Llobregat ,Hospitalet  Centre - Sant Josep ,Excelente,Excelente,2022,126m²,3,3,,C,477.000EUR
Dúplex con jardín en Hospitalet de Llobregat ,Hospitalet  Centre - Sant Josep ,Excelente,Excelente,2022,126m²,3,3,,C,477.000EUR
Dúplex con jardín en Hospitalet de Llobregat ,Hospitalet  Centre - Sant Josep ,Excelente,Excelente,2022,126m²,3,3,,C,477.000EUR
Bonito piso con piscina comunitaria ,Hospitalet  Centre - Sant Josep ,Excelente,Excelente,2022,77m²,2,2,,C,320.000EUR
Dúplex con jardín en Hospitalet de Llobregat ,Hospitalet  Centre - Sant Josep ,Excelente,Excelente,2022,126m²,3,3,,C,477.000EUR
Elegante piso reformado en Galvany ,Sant Gervasi  Galvany ,Excelente,Excelente,1955,157m²,3,3,Gas,E,970.000EUR
Ático a estrenar con piscina comunitaria ,Maresme  Sant Andreu de Llavaneres ,Excelente,Excelente,2011,40m²,1,1,BombadecalorSolar,,315.000EUR
Ático a estrenar con piscina comunitaria ,Maresme  Sant Andreu de Llavaneres ,Excelente,Excelente,2011,51m²,1,1,BombadecalorSolar,,375.000EUR
Espectacular loft de diseño ,Horta Guinardó  Carmel ,Excelente,Excelente,1974,368m²,2,4,Bombadecalor,,1.150.000EUR
Principal con balcón en Rambla Catalunya ,Eixample  Eixample Dreta ,,,,170m²,2,4,,,1.200.000EUR
Único y espectacular ático Duplex en Eixample. ,Eixample  Nova Esquerra de l'Eixample ,Excelente,Excelente,1990,160m²,4,5,Gas,E,895.000EUR
Único y espectacular ático Duplex en Eixample. ,Eixample  Nova Esquerra de l'Eixample ,Excelente,Excelente,1990,160m²,4,5,Gas,E,895.000EUR
Ático duplex en el centro de El Masnou ,Maresme  Masnou ,Excelente,Excelente,2018,184m²,3,4,Circuito,A,990.000EUR
Piso con gran terraza en la Sagrada Familia ,Eixample  Sagrada Familia ,,,1924,71m²,1,2,,G,444.000EUR
Apartamento con maravillosas vistas al puerto ,Ciutat Vella  Barceloneta ,Excelente,Excelente,1975,110m²,2,3,,,645.000EUR
Luminosa y amplia planta baja tipo dúplex ,Sant Just - Esplugues  Esplugues - Otras ,Muybien,Bien,2002,118m²,3,4,Gas,E,398.000EUR
Magnífico piso en Sants ,Sants - Montjuïc  SantS ,Excelente,Excelente,2022,110m²,3,3,Bombadecalor,A,698.000EUR
Magnífico piso en Sants ,Sants - Montjuïc  SantS ,Excelente,Excelente,2022,110m²,3,2,Bombadecalor,A,673.000EUR
Piso con terraza en Sant Andreu ,Sant Andreu ,Excelente,Excelente,1920,99m²,1,2,,,297.500EUR
Bajo con terraza en Sant Andreu ,Sant Andreu ,Excelente,Excelente,1920,101m²,1,1,,,297.500EUR
Maravilloso piso en el centro de Badalona ,Badalona  Centre ,,,,86m²,1,4,,,300.000EUR
Luminoso piso a 4 vientos con zona comunitaria ,Pedralbes  Pedralbes ,Excelente,,1963,343m²,4,4,Gas,D,1.950.000EUR
Ático con terraza en Rambla de Catalunya ,Eixample  Eixample Dreta ,Excelente,Bien,1903,144m²,3,4,Gas,F,1.075.000EUR
Pis al centre de Llavaneres ,Maresme  Sant Andreu de Llavaneres ,Muybien,Muybien,1964,90m²,1,3,Bombadecalor,E,250.000EUR
Lujoso ático con gran terraza y piscina ,Ciutat Vella  raval ,Excelente,Excelente,,171m²,2,2,Bombadecalor,,1.500.000EUR
Fantástico piso con terraza en el Quadrat d'Or ,Eixample  Eixample Dreta ,Excelente,Excelente,1910,167m²,2,3,Gas,D,950.000EUR
Ático a reformar en Eixample ,Eixample  Eixample Esquerra ,Muybien,Necesitarestauración,1960,84m²,1,3,,E,450.000EUR
Espléndido piso a reformar en Eixample ,Eixample  Eixample Esquerra ,Muybien,Necesitarestauración,1960,84m²,1,3,,E,380.000EUR
Piso con vistas despejadas en la calle Marina ,SANT MARTIN  El Parc i La Llacuna del Poblenou ,Excelente,,1960,75m²,1,3,Bombadecalor,E,279.000EUR
Piso reformado con terraza en Eixample ,Eixample  Nova Esquerra de l'Eixample ,Muybien,Excelente,1936,112m²,2,3,Gas,F,550.000EUR
Piso alto y luminoso a reformar con amplio balcón ,Eixample  Eixample Esquerra ,Muybien,Muybien,1963,165m²,3,5,BombadecalorGas,E,650.000EUR
Tranquilo piso a estrenar junto Plaça del Centre ,Sants - Montjuïc  SantS ,Muybien,Excelente,1936,85m²,1,2,Bombadecalor,E,420.000EUR
Elegante y luminoso piso en calle Diputació ,Eixample  Eixample Esquerra ,Muybien,,1920,106m²,2,2,Bombadecalor,E,798.000EUR
Luminoso piso reformado cerca de Plaza Real ,Ciutat Vella  Gòtic ,Muybien,Muybien,1900,83m²,1,2,Gas,E,449.000EUR
Maravilloso loft en calle peatonal ,SANT MARTIN  El Camp de l'Arpa del Clot ,Excelente,Excelente,1930,226m²,2,4,Sueloradiante,D,840.000EUR
Sensacional piso en la calle Jaume Isern ,Maresme  Mataró ,Bien,Regular,1997,125m²,2,4,Gas,E,290.000EUR
Ático dúplex con vistas al mar en via Cannetum ,Maresme  Canet de Mar ,Excelente,Muybien,2001,193m²,2,3,Gas,E,299.000EUR
Bonito apartamento junto a Turó Parc ,Sant Gervasi  Turo Parc ,Muybien,Excelente,1969,73m²,2,2,Central,D,595.000EUR
Propiedad con terraza y vistas en La Salut ,Gracia  La Salut ,Excelente,Muybien,1979,110m²,2,4,Bombadecalor,E,590.000EUR
Espaciosa vivienda frente al mercado del Born ,Ciutat Vella  Born-Ribera ,Excelente,Excelente,1882,95m²,1,1,Gas,E,490.000EUR
Especioso piso renovado en Ciutat Vella ,Ciutat Vella  raval ,,Excelente,,60m²,1,2,,E,195.000EUR
Funcional dúplex en Nova Esquerra de l'Eixample ,Eixample  Nova Esquerra de l'Eixample ,,Bien,,140m²,3,5,Gas,E,575.000EUR
Planta baja de diseño en el centro de Mataró ,Maresme  Mataró ,Muybien,Excelente,2022,86m²,2,3,CentralSueloradiante,,250.000EUR
Gran piso reformado con terraza en Gran Via ,Eixample  Eixample Dreta ,,Excelente,1900,340m²,4,4,Sueloradiante,E,1.975.000EUR
Magnifico piso en Hospitalet de Llobregat ,Hospitalet  Santa Eulalia ,Muybien,,,84m²,2,3,,B,357.000EUR
Precioso apartamento en Poeta Cabanyes ,Sants - Montjuïc  Poble Sec ,Muybien,Excelente,1936,57m²,1,2,Bombadecalor,E,310.000EUR
Elegante piso con parking en les Tres Torres ,Sant Gervasi  Tres Torres ,Excelente,Excelente,1975,152m²,3,3,Gas,F,1.175.000EUR
Piso en Sant Andreu ,Sant Andreu ,Excelente,Bien,1971,80m²,1,3,,E,160.000EUR
Propiedad con encanto y posibilidades en Galvany ,Sant Gervasi  Galvany ,Excelente,Necesitarestauración,1959,96m²,1,1,,F,450.000EUR
Duplex de obra nueva de dos dormitorios  estudio y jardín ,Horta Guinardó ,Excelente,Excelente,2023,121m²,2,2,Bombadecalor,B,550.000EUR
Gran duplex de obra nueva con jardín ,Horta Guinardó ,Excelente,Excelente,2023,149m²,2,3,Bombadecalor,B,590.000EUR
Luminoso piso de obra nueva de dos dormitorios ,Horta Guinardó ,Excelente,Excelente,2023,70m²,1,2,Bombadecalor,B,400.000EUR
Encantador piso de obra nueva de dos dormitorios ,Horta Guinardó ,Excelente,Excelente,2023,71m²,1,2,Bombadecalor,B,380.000EUR
Encantador piso de obra nueva en Guinardó ,Horta Guinardó ,Excelente,Excelente,2023,60m²,1,1,Bombadecalor,B,325.000EUR
Fantástico ático con terraza en Enric Granados ,Eixample  Eixample Esquerra ,,,1900,115m²,2,3,Bombadecalor,E,699.000EUR
Único y espectacular piso en Francesc Carbonell ,Sarria  Sta. Amelia ,Excelente,Excelente,,220m²,3,5,Central,,1.450.000EUR
Atico espectacular en Pedralbes ,Pedralbes  Pedralbes ,Excelente,Necesitarestauración,1979,250m²,4,5,Central,,1.650.000EUR
Piso de grandes dimensiones  Mataró ,Maresme  Mataró ,,,1997,180m²,2,4,Gas,,315.000EUR
Magnífico piso de obra nueva en Sarrià ,Sarria  Sarria ,Excelente,,,145m²,2,2,,A,1.992.000EUR
Magnífico piso de obra nueva en Sarrià ,Sarria  Sarria ,Excelente,,,127m²,2,2,,A,1.756.000EUR
Magnífico piso de obra nueva en Sarrià ,Sarria  Sarria ,Excelente,,,228m²,3,5,,A,2.286.000EUR
Magnífico piso de obra nueva en Sarrià ,Sarria  Sarria ,Excelente,,,214m²,3,5,,A,2.125.000EUR
Magnífico piso de obra nueva en Sarrià ,Sarria  Sarria ,Excelente,,,228m²,3,5,,A,2.242.000EUR
Magnífico piso de obra nueva en Sarrià ,Sarria  Sarria ,Excelente,,,214m²,3,5,,A,2.076.000EUR
Magnífico piso de obra nueva en Sarrià ,Sarria  Sarria ,Excelente,,,228m²,3,5,,A,2.205.000EUR
Magnífico piso de obra nueva en Sarrià ,Sarria  Sarria ,Excelente,,,214m²,3,5,,A,2.016.000EUR
Magnífico piso de obra nueva en Sarrià ,Sarria  Sarria ,Excelente,,,228m²,3,5,,A,2.205.000EUR
Magnífico piso de obra nueva en Sarrià ,Sarria  Sarria ,Excelente,,,214m²,3,5,,A,1.985.000EUR
Magnifico piso de obra nueva en Sarrià ,Sarria  Sarria ,Excelente,,,127m²,2,2,,A,1.327.000EUR
Magnifico piso de obra nueva en Sarrià ,Sarria  Sarria ,Excelente,,,126m²,2,2,,A,1.281.000EUR
Exclusivo piso reformado en Eixample Dret ,Eixample  Eixample Dreta ,Excelente,Excelente,1900,139m²,2,3,Gas,E,1.150.000EUR
Piso alto  luminoso a reformar en Rocafort ,Eixample  Nova Esquerra de l'Eixample ,Excelente,Necesitarestauración,1948,110m²,2,5,Gas,F,395.000EUR
Piso de dos habitaciones dobles en el Borne ,Ciutat Vella  Born-Ribera ,Bien,Excelente,1892,60m²,1,2,Bombadecalor,D,365.000EUR
Fantástico inmueble en finca régia Eixample Esquerra ,Eixample  Eixample Esquerra ,Excelente,Necesitarenovaciones,1930,117m²,2,3,,E,590.000EUR
Luminoso Dúplex en La Rambla ,Ciutat Vella  raval ,Excelente,Excelente,1860,147m²,3,7,,E,799.000EUR
Loft de diseño amueblado en Ciutat Vella ,Ciutat Vella  raval ,Muybien,Excelente,1866,51m²,1,1,Bombadecalor,G,250.000EUR
Amplio atico con terraza y zona comunitaria ,Maresme  Montgat ,Excelente,Excelente,2022,115m²,2,3,Pellets,A,790.000EUR
Espectacular piso con vistas a Rambla Catalunya ,Eixample  Eixample Dreta ,Excelente,Muybien,1964,156m²,3,4,Bombadecalor,F,1.190.000EUR
Ático con estupendas vistas al mar ,Maresme  Montgat ,Excelente,Excelente,2022,138m²,2,3,Pellets,A,890.000EUR
Ático con estupendas vistas al mar ,Maresme  Montgat ,Excelente,Excelente,2022,115m²,2,3,Pellets,A,850.000EUR
Ático esquinero con espectaculares terrazas ,Maresme  Montgat ,Excelente,Excelente,2022,142m²,2,3,Pellets,A,1.250.000EUR
Ático con estupendas terrazas y vistas al mar ,Maresme  Montgat ,Excelente,Excelente,2022,150m²,2,3,Pellets,A,1.300.000EUR
Ático con estupendas terrazas y vistas al mar ,Maresme  Montgat ,Excelente,Excelente,2022,120m²,2,3,Pellets,A,850.000EUR
Gran triplex segregable en la Salut  Gràcia ,Gracia  La Salut ,Muybien,Parcialmenterenovado,1974,694m²,8,15,,E,1.696.000EUR
Magnifico piso en Hospitalet de Llobregat ,Hospitalet  Santa Eulalia ,,,,133m²,3,3,,B,510.000EUR
Magnifico piso en Hospitalet de Llobregat ,Hospitalet  Santa Eulalia ,Muybien,,,136m²,3,3,,B,520.000EUR
Magnifico piso en Hospitalet de Llobregat ,Hospitalet  Santa Eulalia ,,,,88m²,2,3,,B,373.000EUR
Magnifico piso en Hospitalet de Llobregat ,Hospitalet  Santa Eulalia ,,,,83m²,2,3,,B,338.000EUR
Magnifico piso en Hospitalet de Llobregat ,Hospitalet  Santa Eulalia ,Muybien,,,88m²,2,3,,B,358.000EUR
Magnifico piso en Hospitalet de Llobregat ,Hospitalet  Santa Eulalia ,Muybien,,,84m²,2,3,,B,342.000EUR
Piso reformado y amueblado en el Carmel ,Horta Guinardó  Carmel ,Muybien,Muybien,1962,69m²,1,3,,E,159.000EUR
Magnifico piso en Hospitalet de Llobregat ,Hospitalet  Santa Eulalia ,Muybien,Excelente,,83m²,2,3,,B,332.000EUR
Magnifico piso en Hospitalet de Llobregat ,Hospitalet  Santa Eulalia ,Muybien,,,88m²,2,3,,B,352.000EUR
Magnifico piso en Hospitalet de Llobregat ,Hospitalet  Santa Eulalia ,Muybien,,,84m²,2,3,,B,336.000EUR
Gran ático con terrazas y parking en La Salut ,Gracia  La Salut ,Excelente,Muybien,1996,245m²,3,6,Bombadecalor,E,995.000EUR
Fantástico piso moderno y luminoso ,Hospitalet  Gran Via ,Muybien,Muybien,2007,105m²,2,3,,F,415.000EUR
Piso alto con terraza y parking en Sarria ,Les Corts  Les corts ,Excelente,,1964,215m²,3,5,Central,D,1.250.000EUR
Maravilloso Bajo en el centro de Badalona ,Badalona  Centre ,Excelente,Muybien,1920,89m²,1,3,,G,269.000EUR
Propiedad de estilo industrial en Vila de Gràcia ,Gracia  Vila de Gracia ,Excelente,Muybien,1900,320m²,2,7,Gas,D,1.390.000EUR
Ático dúplex con terraza y encanto ,Sagrera ,Excelente,Muybien,1980,133m²,2,4,,,350.000EUR
Dúplex con terraza  jardín y piscina en Gràcia ,Gracia  Camp d'en Grassot ,Excelente,Excelente,2019,184m²,3,4,BombadecalorPellets,B,1.180.000EUR
Bonito piso en Illa del Bosc de Diagonal Mar ,SANT MARTIN  Diagonal Mar i El Front Marítim del Poblenou ,Excelente,Excelente,2004,91m²,1,2,CorrienteEléctrica,E,760.000EUR
