title,location,location_status,status,year,area,bathrooms,bedrooms,heating_type,energy_class,price
Exclusivo piso en Finestrelles ,Sant Just - Esplugues  Esplugues - Finestrelles ,Excelente,Muybien,1976,154m²,2,3,Gas,E,950.000EUR
Apartamento de diseño con piscina comunitaria ,Ciutat Vella  Born-Ribera ,Excelente,Excelente,1900,109m²,3,2,,E,660.000EUR
Acogedor y luminoso piso a escasos metros del centro de Sant Feliu ,Sant Feliu De LLobregat ,Bien,Bien,1973,68m²,1,3,Bombadecalor,,172.000EUR
Amplio bajo en Sants ,Sants - Montjuïc  SantS ,,Bien,,102m²,1,4,,,218.000EUR
Piso de 4 balcones en Sant Antoni ,Eixample  Sant Antoni ,Excelente,Necesitarestauración,1925,117m²,2,3,,E,470.000EUR
Acogedor piso en finca regia en Eixample ,Eixample  Eixample Esquerra ,Excelente,Bien,1930,87m²,1,3,Bombadecalor,D,670.000EUR
Dúplex con terraza en Sant Feliu de Llobregat ,Sant Feliu De LLobregat ,Excelente,Excelente,2023,134m²,2,3,CorrienteEléctrica,A,595.000EUR
Bajo con jardín en Sant Feliu de Llobregat ,Sant Feliu De LLobregat ,Excelente,Excelente,2023,87m²,2,2,CorrienteEléctrica,A,485.000EUR
Bonito piso a estrenar al lado de Plaça del Pi ,Ciutat Vella  Gòtic ,Excelente,Excelente,1850,120m²,2,3,CorrienteEléctrica,E,795.000EUR
Gran piso a reformar en Eixample Dret ,Eixample  Eixample Dreta ,Muybien,Necesitarestauración,1900,140m²,2,5,,E,750.000EUR
Gran piso a reformar en Eixample Dret ,Eixample  Eixample Dreta ,Muybien,Necesitarestauración,1900,140m²,2,5,,E,760.000EUR
Ático dúplex con mucha luz natural y vistas ,Sant Just - Esplugues  Esplugues - Otras ,Excelente,Muybien,2005,124m²,2,4,Gas,F,565.000EUR
Increíble ático con terraza en Eixample ,Eixample  Eixample Esquerra ,Excelente,Excelente,1940,100m²,2,2,BombadecalorGas,E,995.000EUR
Vivienda con gran terraza en Sant Gervasi ,Sant Gervasi  Putget ,Muybien,Excelente,1962,129m²,2,3,Gas,E,890.000EUR
Piso para entrar y con vistas al Mar ,Maresme  Canet de Mar ,Excelente,Excelente,1976,84m²,1,3,Bombadecalor,E,228.000EUR
Gran piso cerca de Las Ramblas y del Mar ,Ciutat Vella  raval ,,,2006,110m²,2,3,Gas,,460.000EUR
Piso reformado en Rambla Catalunya ,Eixample  Eixample Esquerra ,Excelente,Excelente,1880,92m²,1,2,Central,C,1.150.000EUR
Piso en finca rehabilitada en Eixample ,Eixample  Eixample Esquerra ,Excelente,Excelente,1880,61m²,1,1,Central,C,770.000EUR
